Star Name,Distance (pc),Spectral Class,Index
Xuange,30.685671325774425,A0Va_lB,418
Yed Posterior,32.77227203607571,G9.5IIIbFe-0.5,419
Yed Prior,52.465897166841565,M0.5III,420
Yildun,55.927786042661715,A1Van,421
Zaniah,75.93475685690854,A2IV,422
Zaurak,58.8179936006023,M0III-IIIb,423
Zavijava,11.001765783408239,F9V,424
Zhang,76.18293045260279,G7III,425
Zibal,36.50301149844862,kA4hA9mA9V,426
Zosma,17.914725904693658,A5IV(n),427
Zubenelgenubi,23.239600278875205,kA2hA5mA4IV-V,428
Zubenelhakrabi,50.025012506253134,G8.5III,429
Zubeneschamali,56.75368898978434,B8Vn,430
