Star Name,Distance (pc),Image URL,Spectral Class,Center Pixel,L/L_o,Average Color
Aludra,609.7560975609756,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Aludra&format=jpg,"('B', '5', 'I')",255,79070.63444590615,"[0.32827009514654704, 0.34274848023639776, 0.35992158642848876]"
Alula Australis,8.833922261484098,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alula Australis&format=jpg,"('F', '8.5', 'V')",255,1.4651239780256151,"[0.34520639871068703, 0.3740839291042878, 0.4095166588972359]"
Alula Borealis,122.39902080783354,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Alula Borealis&format=jpg,"('K', '3', 'III')",255,79.00000000000003,"[0.4030783814798184, 0.3805587431466791, 0.3467400644170589]"
Anadolu,174.6358841814816,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Anadolu&format=jpg,"('K', '2', 'V')",255,0.3832619047619051,"[0.17167146921406062, 0.24167013742311827, 0.3233300952164594]"
Angetenar,59.54862144941345,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Angetenar&format=jpg,"('K', '0', 'III')",255,50.00000000000002,"[0.3450989605502947, 0.2509884999014172, 0.14598878551514582]"
Aniara,122.41250566157838,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Aniara&format=jpg,"('K', '0', 'III')",253,50.00000000000002,"[0.14174507223633562, 0.15515553272391622, 0.1803593168335644]"
Ankaa,25.97402597402597,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Ankaa&format=jpg,"('K', '0.5', 'III')",252,53.83398437500003,"[0.4424442008361698, 0.3500095164605259, 0.25233610663157136]"
Anser,89.09638446871826,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Anser&format=jpg,"('M', '0.5', 'III')",255,302.1892248376626,"[0.2342242242242242, 0.2122968066105321, 0.18963689179375454]"
Antares,169.77928692699493,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Antares&format=jpg,"('M', '1.5', 'I')",232,65458.94717261878,"[0.5033149165404799, 0.37046779248417333, 0.23936706793743173]"
Arcturus,11.257458065968706,https://alasky.u-strasbg.fr/hips-image-services/hips2fits?hips=CDS%2FP%2FDSS2%2Fcolor&width=500&height=500&fov=1&projection=SIN&coordsys=icrs&rotation_angle=0.0&object=Arcturus&format=jpg,"('K', '1.5', 'III')",255,62.54101562500003,"[0.6946410518403535, 0.57940308321611, 0.4658182525684675]"
