,Star Name,Distance (pc),Spectral Class,Index,Luminosity Class
240,Marfik,53.07855626326964,A1IV,240,IV
241,Markab,40.883074407195416,B9III,241,III
242,Marohu,199.70842569848023,G8V,242,V
243,Matar,60.129398465497744,G8II+F0V,243,II
244,Mebsuta,259.0673575129534,G8Ib,244,I
245,Megrez,24.685262898049867,A2Vn,245,V
246,Meissa,336.7003367003367,O8IIIf+B0.5V,246,III
247,Mekbuda,325.42549383318686,G1Ib,247,I
248,Meleph,185.7493127275429,A5m,248,
249,Menkalinan,24.86943546381497,A1IV-Vp,249,IV
250,Menkar,76.39419404125287,M1.5IIIa,250,III
251,Menkent,18.034265103697024,K0-IIIb,251,III
252,Menkib,381.6793893129771,O7.5III(n)((f)),252,III
253,Merak,25.90465532560857,A1IVps,253,IV
254,Merga,48.01597971805017,F6IVs,254,IV
255,Meridiana,36.91617075943947,A2Va,255,V
256,Merope,116.55011655011654,B6IV(e),256,IV
257,Mesarthim,50.30181086519115,kA0hA3(IV)SiSr+B9.5IV,257,IV
258,Miaplacidus,34.698126301179734,A1III-,258,III
259,Mimosa,85.39709649871904,B1IV,259,IV
260,Minchir,114.28571428571428,K1III,260,III
261,Minelauva,60.82725060827251,M3+III,261,III
262,Mintaka,212.31422505307856,O9.5IINwk,262,II
263,Mira,91.65902841429882,M5-9IIIe+DA,263,III
264,Mirach,60.53268765133172,M0+IIIa,264,III
265,Miram,269.54177897574124,K3-Ib-IIa,265,I
266,Mirfak,155.27950310559004,F5Ib,266,I
267,Mirzam,151.05740181268882,B1II-III,267,II
268,Misam,34.805126098971854,G9.5IIIb,268,III
269,Moldoveanu,162.6307144367285,G1V,269,V
270,Monch,31.91258504703915,K0V,270,V
271,Montuno,245.6519603026432,F5,271,
272,Morava,430.23706062040185,G1V,272,V
273,Moriah,365.5237955990936,G0,273,
274,Mothallah,19.48140499892852,F5III,274,III
275,Mouhoun,131.63957085499902,K0III,275,III
276,Mpingo,355.138859293984,G2,276,
277,Muliphein,135.50135501355012,B8II,277,II
278,Muphrid,11.396011396011398,G0IV,278,IV
279,Muscida,55.76156355424207,G5III:,279,III
280,Musica,75.17610001428346,G6III,280,III
281,Nahn,124.93753123438285,G8.5IIIFe-0.5CH-1,281,III
282,Naos,332.2259136212625,O4I(n)fp,282,I
283,Nashira,52.34588064092296,kF0hF1VmF2,283,V
284,Nasti,60.38720274399449,G1V,284,V
285,Natasha,33.52633325845785,K1.5V,285,V
286,Nekkar,72.05649228995533,G8IIIaFe-0.5,286,III
287,Nembus,53.9115527066295,K3-IIICN0.5,287,III
288,Nenque,42.25239042898852,G2/3V,288,V
289,Nervia,42.87870472008781,G3V,289,V
290,Nihal,47.9163572068597,G5II-IIIa:,290,II
291,Nikawiy,104.98136580756916,G5,291,
292,Nosaxa,90.8554036251306,G5IV/V,292,IV
293,Nunki,69.83240223463686,B2V,293,V
294,Nusakan,34.28179636612958,F2VpSrCrEuSi,294,V
295,Nushagak,77.43414226200618,F9V,295,V
296,Nyamien,286.60686136826115,F7,296,
297,Ogma,76.21776941076043,G0IV,297,IV
298,Okab,25.45824847250509,A0IV-Vnn,298,IV
299,Paikauhale,145.34883720930233,B0.2V,299,V
300,Peacock,54.82456140350877,B2IV,300,IV
301,Petra,49.71636811987611,K7V-M0V,301,V
302,Phact,80.12820512820512,B9Ve,302,V
303,Phecda,25.50369803621525,A0Ve+K2V,303,V
304,Pherkad,149.2537313432836,A2III,304,III
305,Phoenicia,19.629705240346112,K1/2V,305,V
306,Piautos,174.33143893169694,B9.5V,306,V
307,Pincoya,40.02129132698595,K3.5Vk:,307,V
308,Pipirima,145.34883720930233,B2IV,308,IV
309,Pleione,138.09484353854228,B8Vne,309,V
310,Poerava,55.95188138201147,F7V,310,V
311,Polaris,132.6259946949602,F8Ib,311,I
312,Polaris Australis,90.08603216071349,F0IV,312,IV
313,Polis,11111.111111111111,B8Iab(e),313,I
314,Pollux,10.358400662937642,K0IIIb,314,III
315,Porrima,12.02016984499991,F1-F2V,315,V
316,Praecipua,30.37574800279457,K0+III-IV,316,III
317,Prima Hyadum,46.15846200004616,G9.5IIIabCN0.5,317,III
318,Procyon,3.5141973573235874,F5IV-V+DQZ,318,IV
319,Propus,211.3628677713899,M2IIIa,319,III
320,Proxima Centauri,1.3019705975979945,M5.5Ve,320,V
321,Rana,9.088810401961728,K0+IV,321,IV
322,Rapeto,48.40739665020814,F8V,322,V
323,Rasalas,38.31843384897172,K2IIIbCN1Ca1,323,III
